Symbol,Name," Market capitalization as on December 31, 2023
(In Lakhs) "
RELIANCE,Reliance Industries Limited,"  174,889,555 "
TCS,Tata Consultancy Services Limited,"  137,248,532 "
HDFCBANK,HDFC Bank Limited,"  129,740,454 "
ICICIBANK,ICICI Bank Limited,"  69,902,441 "
INFY,Infosys Limited,"  64,037,071 "
HINDUNILVR,Hindustan Unilever Limited,"  62,591,936 "
BHARTIARTL,Bharti Airtel Limited,"  58,028,012 "
ITC,ITC Limited,"  57,649,788 "
SBIN,State Bank of India,"  57,300,471 "
LICI,Life Insurance Corporation Of India,"  52,655,606 "
LT,Larsen & Toubro Limited,"  48,466,574 "
BAJFINANCE,Bajaj Finance Limited,"  45,287,186 "
HCLTECH,HCL Technologies Limited,"  39,785,044 "
KOTAKBANK,Kotak Mahindra Bank Limited,"  37,924,093 "
AXISBANK,Axis Bank Limited,"  33,991,569 "
ASIANPAINT,Asian Paints Limited,"  32,635,746 "
TITAN,Titan Company Limited,"  32,630,136 "
ADANIENT,Adani Enterprises Limited,"  32,478,062 "
MARUTI,Maruti Suzuki India Limited,"  32,390,854 "
ULTRACEMCO,UltraTech Cement Limited,"  30,320,906 "
SUNPHARMA,Sun Pharmaceutical Industries Limited,"  30,218,424 "
NTPC,NTPC Limited,"  30,171,177 "
BAJAJFINSV,Bajaj Finserv Limited,"  26,896,750 "
DMART,Avenue Supermarts Limited,"  26,567,154 "
TATAMOTORS,Tata Motors Limited,"  25,916,546 "
ONGC,Oil & Natural Gas Corporation Limited,"  25,795,863 "
NESTLEIND,Nestle India Limited,"  25,627,587 "
ADANIGREEN,Adani Green Energy Limited,"  25,296,999 "
WIPRO,Wipro Limited,"  24,621,823 "
COALINDIA,Coal India Limited,"  23,171,859 "
ADANIPORTS,Adani Ports and Special Economic Zone Limited,"  22,127,383 "
POWERGRID,Power Grid Corporation of India Limited,"  22,061,032 "
JSWSTEEL,JSW Steel Limited,"  21,526,109 "
M&M,Mahindra & Mahindra Limited,"  21,505,588 "
ADANIPOWER,Adani Power Limited,"  20,254,715 "
BAJAJ-AUTO,Bajaj Auto Limited,"  19,233,319 "
HAL,Hindustan Aeronautics Limited,"  18,752,451 "
LTIM,LTIMindtree Limited,"  18,627,749 "
IOC,Indian Oil Corporation Limited,"  18,336,428 "
DLF,DLF Limited,"  17,980,688 "
TATASTEEL,Tata Steel Limited,"  17,167,077 "
VBL,Varun Beverages Limited,"  16,069,990 "
JIOFIN,Jio Financial Services Limited,"  14,799,976 "
SBILIFE,SBI Life Insurance Company Limited,"  14,343,767 "
SIEMENS,Siemens Limited,"  14,332,772 "
GRASIM,Grasim Industries Limited,"  14,056,565 "
HDFCLIFE,HDFC Life Insurance Company Limited,"  13,908,316 "
HINDALCO,Hindalco Industries Limited,"  13,817,011 "
PIDILITIND,Pidilite Industries Limited,"  13,809,216 "
BEL,Bharat Electronics Limited,"  13,464,613 "
HINDZINC,Hindustan Zinc Limited,"  13,438,627 "
IRFC,Indian Railway Finance Corporation Limited,"  12,983,561 "
BRITANNIA,Britannia Industries Limited,"  12,858,634 "
PFC,Power Finance Corporation Limited,"  12,626,189 "
INDUSINDBK,IndusInd Bank Limited,"  12,435,549 "
TECHM,Tech Mahindra Limited,"  12,421,248 "
BANKBARODA,Bank of Baroda,"  11,951,018 "
ADANIENSOL,Adani Energy Solutions Limited,"  11,665,265 "
GODREJCP,Godrej Consumer Products Limited,"  11,570,144 "
INDIGO,InterGlobe Aviation Limited,"  11,451,378 "
EICHERMOT,Eicher Motors Limited,"  11,343,888 "
RECLTD,REC Limited,"  10,871,265 "
ATGL,Adani Total Gas Limited,"  10,865,574 "
TRENT,Trent Limited,"  10,859,964 "
ZOMATO,Zomato Limited,"  10,775,403 "
GAIL,GAIL (India) Limited,"  10,658,237 "
TATAPOWER,Tata Power Company Limited,"  10,613,320 "
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,"  10,577,710 "
PNB,Punjab National Bank,"  10,543,047 "
DIVISLAB,Divi's Laboratories Limited,"  10,363,628 "
AMBUJACEM,Ambuja Cements Limited,"  10,343,226 "
SHREECEM,SHREE CEMENT LIMITED,"  10,338,325 "
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,"  10,096,499 "
CIPLA,Cipla Limited,"  10,062,008 "
ABB,ABB India Limited,"  9,906,399 "
DABUR,Dabur India Limited,"  9,873,790 "
LODHA,Macrotech Developers Limited,"  9,871,488 "
BPCL,Bharat Petroleum Corporation Limited,"  9,775,737 "
DRREDDY,Dr. Reddy's Laboratories Limited,"  9,671,442 "
TVSMOTOR,TVS Motor Company Limited,"  9,624,315 "
VEDL,Vedanta Limited,"  9,610,837 "
UNIONBANK,Union Bank of India,"  8,828,226 "
HAVELLS,Havells India Limited,"  8,572,711 "
BAJAJHLDNG,Bajaj Holdings & Investment Limited,"  8,541,332 "
HEROMOTOCO,Hero MotoCorp Limited,"  8,274,429 "
POLYCAB,Polycab India Limited,"  8,236,221 "
APOLLOHOSP,Apollo Hospitals Enterprise Limited,"  8,201,621 "
IOB,Indian Overseas Bank,"  8,184,745 "
MCDOWELL-N,United Spirits Limited,"  8,129,964 "
MANKIND,Mankind Pharma Limited,"  7,941,666 "
CANBK,Canara Bank,"  7,936,820 "
TORNTPHARM,Torrent Pharmaceuticals Limited,"  7,803,029 "
IDEA,Vodafone Idea Limited,"  7,788,750 "
SHRIRAMFIN,Shriram Finance Limited,"  7,710,995 "
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,"  7,702,121 "
JINDALSTEL,Jindal Steel & Power Limited,"  7,631,279 "
SRF,SRF Limited,"  7,349,112 "
IDBI,IDBI Bank Limited,"  7,247,119 "
SBICARD,SBI Cards and Payment Services Limited,"  7,221,762 "
IRCTC,Indian Railway Catering And Tourism Corporation Limited,"  7,100,000 "
MARICO,Marico Limited,"  7,096,677 "
BERGEPAINT,Berger Paints (I) Limited,"  7,048,447 "
ICICIGI,ICICI Lombard General Insurance Company Limited,"  6,989,616 "
ZYDUSLIFE,Zydus Lifesciences Limited,"  6,976,111 "
CGPOWER,CG Power and Industrial Solutions Limited,"  6,939,977 "
MOTHERSON,Samvardhana Motherson International Limited,"  6,908,562 "
COLPAL,Colgate Palmolive (India) Limited,"  6,880,421 "
TIINDIA,Tube Investments of India Limited,"  6,848,576 "
HDFCAMC,HDFC Asset Management Company Limited,"  6,842,162 "
